weekday,month,day,opponent,GB,nightGame,attendance
4,6,17,CIN,6,1,40362
5,6,18,CIN,6,1,33456
6,6,19,CIN,5,0,38765
7,6,20,CIN,5,0,38004
1,6,21,LAD,4.5,1,42220
2,6,22,LAD,4.5,1,42667
3,6,23,LAD,4.5,1,43691
5,6,25,ARI,4.5,1,32583
6,6,26,ARI,5.5,1,40557
7,6,27,ARI,4.5,0,34905
1,7,5,WSH,4.5,1,33168
2,7,6,WSH,3.5,1,29977
3,7,7,WSH,4.5,1,26353
4,7,8,WSH,4,1,29434
5,7,9,COL,4,1,34953
6,7,10,COL,5,1,42351
7,7,11,COL,6,0,38235
2,7,27,OAK,5,1,40162
3,7,28,OAK,5,0,35351
4,7,29,COL,5,1,31884
5,7,30,COL,5,1,38686
6,7,31,COL,6,1,44144
7,8,1,COL,6,0,36247
5,8,6,ARI,7,1,34038
6,8,7,ARI,7,1,39134
7,8,8,ARI,7,0,30989
1,8,9,MIA,6.5,1,26841
2,8,10,MIA,6.5,1,32060
3,8,11,MIA,7.5,0,29753
5,8,20,PHI,11.5,1,40927
6,8,21,PHI,11.5,1,43383
7,8,22,PHI,12.5,0,38548
2,8,24,LAD,13.5,1,41676
3,8,25,LAD,14.5,1,41765
4,8,26,LAD,15.5,1,43383
5,9,3,HOU,14.5,1,37033
6,9,4,HOU,13.5,1,35338
7,9,5,HOU,13.5,0,35007
2,9,7,LAA,15,1,34405
3,9,8,LAA,15,1,34537
2,9,21,SFG,21,1,36439
3,9,22,SFG,22,1,38189
4,9,23,SFG,21,0,31049
5,9,24,ATL,22,1,33265
6,9,25,ATL,23,0,39026
7,9,26,ATL,24,0,41294
4,4,14,ATL,0,1,44844
5,4,15,ATL,1,1,41993
6,4,16,ATL,2,0,36924
7,4,17,ATL,2,0,37694
1,4,18,CIN,2,1,31121
2,4,19,CIN,1,1,31313
3,4,20,CIN,1,0,25359
5,4,22,LAD,2,1,44482
6,4,23,LAD,1,1,44444
7,4,24,LAD,2,0,44930
4,5,5,MIA,0.5,1,31034
5,5,6,MIA,0,1,37585
6,5,7,MIA,1.5,1,34709
7,5,8,MIA,1.5,0,37937
1,5,9,CHC,1.5,1,41595
2,5,10,CHC,1.5,1,31047
3,5,11,CHC,1.5,0,29344
1,5,23,MIL,0.5,1,31504
2,5,24,MIL,1.5,1,39834
3,5,25,MIL,1.5,0,27831
5,5,27,PIT,2,1,41898
6,5,28,PIT,3,1,38189
7,5,29,PIT,3,0,44395
1,6,6,NYM,2.5,1,34858
2,6,7,NYM,1.5,1,31796
3,6,8,NYM,1.5,1,40992
5,6,10,COL,1,1,35207
6,6,11,COL,0.5,0,31415
6,6,11,COL,0.5,1,30040
7,6,12,COL,0.5,0,41754
1,6,20,ARI,0,1,35430
2,6,21,ARI,0,1,31528
3,6,22,ARI,0,0,31024
4,6,23,PHI,1,1,40355
5,6,24,PHI,1,1,38890
6,6,25,PHI,1,1,37467
7,6,26,PHI,2,0,41620
1,7,4,SEA,4.5,0,37913
2,7,5,SEA,5.5,0,29745
4,7,7,SFG,6,1,42656
5,7,8,SFG,6,1,42861
6,7,9,SFG,7,0,41714
7,7,10,SFG,8,0,38712
5,7,15,ARI,9.5,1,41302
6,7,16,ARI,9.5,1,42384
7,7,17,ARI,10,0,36428
5,7,29,MIN,12,1,43171
6,7,30,MIN,12,0,39574
7,7,31,MIN,12,0,37336
1,8,1,COL,12,1,29983
2,8,2,COL,11.5,0,23828
2,8,2,COL,11.5,1,30759
3,8,3,COL,11.5,1,44652
4,8,4,COL,12.5,0,30366
1,8,8,SFG,16,1,40686
2,8,9,SFG,16,1,38626
3,8,10,SFG,16,0,32834
4,8,18,WSH,17,1,41820
5,8,19,WSH,18,1,39474
6,8,20,WSH,18,1,42529
7,8,21,WSH,18,0,37040
2,8,23,CLE,18.5,1,38166
3,8,24,CLE,19.5,0,30409
1,9,5,ARI,19,0,37713
2,9,6,ARI,19,1,31380
3,9,7,ARI,19,1,36948
5,9,9,LAD,18,1,43286
6,9,10,LAD,19,1,43639
7,9,11,LAD,20,0,41652
2,9,20,STL,21,1,39538
3,9,21,STL,20,1,38643
4,9,22,STL,21,0,33389
2,9,27,LAD,20,1,32127
3,9,28,LAD,21,1,32523
4,9,29,LAD,22,1,35636
5,9,30,CHW,23,1,37490
6,10,1,CHW,23,1,38114
7,10,2,CHW,23,0,41407
1,10,3,SFG,22,1,31687
2,10,4,SFG,21,1,32884
3,10,5,SFG,22,0,32064
