"","V1"
"BeyondEntitiesAndRelationships.txt",2
"bigdata.txt",1
"ConditionsOverCauses.txt",3
"EmergentDesignInEnterpriseIT.txt",3
"FromInformationToKnowledge.txt",2
"FromTheCoalface.txt",5
"GreenEggsAndHam.txt",1
"HeraclitusAndParmenides.txt",5
"IroniesOfEnterpriseIT.txt",5
"MakingSenseOfOrganizationalChange.txt",3
"MakingSenseOfSensemaking.txt",1
"ObjectivityAndTheEthicalDimensionOfDecisionMaking.txt",4
"OnTheInherentAmbiguitiesOfManagingProjects.txt",4
"OrganisationalSurprise.txt",4
"ProfessionalsOrPoliticians.txt",5
"RitualsInInformationSystemDesign.txt",2
"RoutinesAndReality.txt",2
"ScapegoatsAndSystems.txt",3
"SherlockHolmesFailedProjects.txt",1
"sherlockHolmesMgmtFetis.txt",1
"SixHeresiesForBI.txt",2
"SixHeresiesForEnterpriseArchitecture.txt",3
"TheArchitectAndTheApparition.txt",1
"TheCloudAndTheGrass.txt",1
"TheConsultantsDilemma.txt",1
"TheDangerWithin.txt",4
"TheDilemmasOfEnterpriseIT.txt",5
"TheEssenceOfEntrepreneurship.txt",4
"ThreeTypesOfUncertainty.txt",4
"TOGAFOrNotTOGAF.txt",5
"UnderstandingFlexibility.txt",5
